"apt_name","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","Protein_id","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10082.251",1.7311170196479,-0.477993307277309,-0.0463754450758609,-0.0156420741110977,0.016,-0.477993307277303,0,-0.4936353813884,0,0.0316875060031206,0.016,0.00597298492610153,0.0584898733723241,0.0608,0,0.0608,"NFL__seq.10082.251__ANML","P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.10390.21",1.71754369373699,-0.0468700423231729,-0.0213092540502229,-0.00686029244065211,0.226,-0.0468700423231761,0,-0.0537303347638282,0,0.127680061380718,0.226,-0.093105285712366,0.413426532973086,0.39394495412844,0,0.39394495412844,"ZNRF3__seq.10390.21__ANML","Q9ULT6","ZNRF3","ZNRF3","ZNRF3__seq.10390.21","ZNRF3_1"
"seq.10562.42",1.7244713321654,-0.0576046528917468,-0.0141533119886897,-0.00442432081305123,0.52,-0.0576046528917463,0.008,-0.0620289737047976,0.002,0.0713266808847595,0.522,-0.143117944113278,0.395321625310405,0.672108843537415,0.00944099378881988,0.672702702702703,"NETO2__seq.10562.42__ANML","Q8NC67","NETO2","NETO2","NETO2__seq.10562.42","NETO2"
"seq.10939.16",1.69887898782913,-0.0445049783832981,-0.0168130235247091,-0.00532703139609675,0.296,-0.0445049783832993,0,-0.0498320097793961,0,0.106899790309066,0.296,-0.0867369248537925,0.406636117451351,0.472605042016807,0,0.472605042016807,"PKHA4__seq.10939.16__ANML","Q9H4M7","PLEKHA4","PLEKHA4","PLEKHA4__seq.10939.16","PLEKHA4"
"seq.10990.21",1.71842569420995,-0.0375505892960146,-0.0161951525691177,-0.00497817636556684,0.174,-0.0375505892960153,0,-0.0425287656615822,0,0.117054334592735,0.174,-0.0557976666260487,0.406640325085393,0.348659793814433,0,0.348659793814433,"LRRK2__seq.10990.21__ANML","Q5S007","LRRK2","LRRK2","LRRK2__seq.10990.21","LRRK2"
"seq.11160.56",1.72130840942624,-0.0419915644861822,-0.00633650342144697,-0.00206865246405397,0.512,-0.041991564486182,0,-0.0440602169502359,0,0.0469505737202888,0.512,-0.11687623903926,0.244055082862288,0.666301369863014,0,0.666301369863014,"RN122__seq.11160.56__ANML","Q9H9V4","RNF122","RNF122","RNF122__seq.11160.56","RNF122"
"seq.11180.17",1.71117083058451,-0.0816054990673204,-0.0406589772355793,-0.0128721004485848,0.176,-0.081605499067322,0.002,-0.0944775995159068,0.002,0.136244998968433,0.178,-0.0548435707576823,0.382336633366193,0.348659793814433,0.00262068965517241,0.348659793814433,"SMRC1__seq.11180.17__ANML","Q92922","SMARCC1","SMARCC1","SMARCC1__seq.11180.17","SMARCC1"
"seq.11192.168",1.72339307016743,0.0435869607828225,0.0936708301581635,0.031889516428253,0,0.0435869607828202,0.028,0.0754764772110732,0,0.422509338095797,0,0.209589013761952,0.872109425120973,0,0.0289130434782609,0,"TINAL__seq.11192.168__ANML","Q9GZM7","TINAGL1","TINAGL1","TINAGL1__seq.11192.168","TINAGL1"
"seq.11219.95",1.72556831329393,0.0357464345566825,0.0377455968550012,0.0121634662866079,0.008,0.0357464345566828,0.01,0.0479099008432908,0,0.253882101037813,0.008,0.0611813586945661,0.675646610323205,0.0361904761904762,0.0112426035502959,0.0361904761904762,"FGFP3__seq.11219.95__ANML","Q8TAT2","FGFBP3","FGFBP3","FGFBP3__seq.11219.95","FGFBP3"
"seq.11286.78",1.72840954084276,-0.0522204810812357,-0.0340735437161335,-0.0107800241645637,0.108,-0.0522204810812354,0.016,-0.0630005052457992,0.004,0.171110122411003,0.112,-0.0494449344785449,0.581061998391247,0.2565,0.0171751412429379,0.266,"SELS__seq.11286.78__ANML","Q9BQE4","SELENOS","SELENOS","SELENOS__seq.11286.78","SELENOS"
"seq.11293.14",1.71781254555689,0.369834058708522,0.0248100465976958,0.00806622341689767,0.134,0.36983405870853,0,0.377900282125428,0,0.0213448462423228,0.134,-0.00654374767721859,0.0486907020505941,0.296046511627907,0,0.296046511627907,"LRRN1_CD__seq.11293.14__ANML","Q6UXK5","LRRN1","LRRN1","LRRN1__seq.11293.14","LRRN1_1"
"seq.11416.23",1.72524083472789,0.024780475894396,0.0128325187323718,0.00388030923574109,0.132,0.0247804758943957,0,0.0286607851301368,0,0.135387401919459,0.132,-0.0410505141180856,0.410150093805888,0.295058823529412,0,0.295058823529412,"FBXL4_LRR4_and_LRR5__seq.11416.23__ANML","Q9UKA2","FBXL4","FBXL4","FBXL4__seq.11416.23","FBXL4_1"
"seq.11556.19",1.72388237528631,-0.0676189247566135,-0.0482704187853769,-0.0157594331686646,0.018,-0.0676189247566154,0,-0.0833783579252799,0,0.189011076264988,0.018,0.0238951841465526,0.425190257497754,0.0657692307692308,0,0.0657692307692308,"ARFG1__seq.11556.19__ANML","Q8N6T3","ARFGAP1","ARFGAP1","ARFGAP1__seq.11556.19","ARFGAP1"
"seq.11563.51",1.72536368500099,-0.0511432278505151,-0.0275307406916867,-0.00998535594928637,0.03,-0.0511432278505164,0,-0.0611285837998028,0,0.163350029210371,0.03,0.0161182050825659,0.311684749682445,0.101785714285714,0,0.101785714285714,"SYTL4_C2_2__seq.11563.51__ANML","Q96C24","SYTL4","SYTL4","SYTL4__seq.11563.51","SYTL4_1"
"seq.11614.29",1.72929699779632,-0.0538214852771367,-0.0098539554548342,-0.00316511543881508,0.624,-0.0538214852771387,0.004,-0.0569866007159538,0.002,0.0555413974346601,0.622,-0.203634810139889,0.349250095099193,0.73639751552795,0.00496732026143791,0.73639751552795,"ERH__seq.11614.29__ANML","P84090","ERH","ERH","ERH__seq.11614.29","ERH"
"seq.11814.29",1.72339307016743,0.0303607067133721,0.0192054840093982,0.00625012591775017,0.148,0.0303607067133698,0.002,0.03661083263112,0,0.170717939707206,0.148,-0.0522433175078556,0.571410321049463,0.313186813186813,0.00262068965517241,0.315955056179775,"Met__seq.11814.29__ANML","P08581","MET","MET","MET__seq.11814.29","MET_1"
"seq.12373.73",1.74281235961041,-0.0488884829256911,-0.0605147087174584,-0.0178662473356303,0.01,-0.0488884829256904,0.016,-0.0667547302613207,0,0.267640169703187,0.01,0.0708219169829625,0.768597256455307,0.0431818181818182,0.0171751412429379,0.0431818181818182,"TRA2B__seq.12373.73__ANML","P62995","TRA2B","TRA2B","TRA2B__seq.12373.73","TRA2B"
"seq.12384.92",1.72339307016743,0.11651084790999,0.0634078634179796,0.0186817796642231,0.078,0.11651084790999,0,0.135192627574213,0,0.138186378942653,0.078,-0.0167532251017795,0.406263096425476,0.214782608695652,0,0.214782608695652,"CSN7B__seq.12384.92__ANML","Q9H9Q2","COPS7B","COPS7B","COPS7B__seq.12384.92","COPS7B"
"seq.12446.49",1.72018026889807,-0.113043066734131,-0.080329279018252,-0.0253571062723754,0.082,-0.113043066734131,0.004,-0.138400173006507,0,0.183215856754625,0.082,-0.0238672797903287,0.54724810453388,0.215675675675676,0.00496732026143791,0.215675675675676,"GST_A1.1__seq.12446.49__ANML","P08263","GSTA1","GSTA1","GSTA1__seq.12446.49","GSTA1_1"
"seq.12482.5",1.73304254226933,-0.0410270982377753,-0.00195095624111115,-0.000634331529624034,0.854,-0.0410270982377762,0,-0.0416614297674002,0,0.0152258703833634,0.854,-0.135310426578167,0.186224190528938,0.895714285714286,0,0.895714285714286,"BPTF__seq.12482.5__ANML","Q12830","BPTF","BPTF","BPTF__seq.12482.5","BPTF"
"seq.12501.10",1.72339307016743,-0.702780955914662,-0.0713320727276677,-0.0230448797358737,0.004,-0.702780955914674,0,-0.725825835650548,0,0.0317498752510221,0.004,0.0122089361418254,0.0533189935639681,0.0217142857142857,0,0.0217142857142857,"TBCA__seq.12501.10__ANML","O75347","TBCA","TBCA","TBCA__seq.12501.10","TBCA"
"seq.12514.16",1.71775853498217,-0.0550637907353807,-0.0141205972327037,-0.00462841798183086,0.188,-0.0550637907353807,0,-0.0596922087172116,0,0.0775380586729119,0.188,-0.052912437883938,0.214671107425266,0.360808080808081,0,0.360808080808081,"METTL1__seq.12514.16__ANML","Q9UBP6","METTL1","METTL1","METTL1__seq.12514.16","METTL1"
"seq.12587.65",1.71866887468032,-0.537828811892033,-0.000718781651044969,-0.000225756578690627,0.958,-0.53782881189204,0,-0.538054568470731,0,0.00041957933622286,0.958,-0.0287449535128188,0.0310091239824717,0.968191489361702,0,0.968191489361702,"ARL2__seq.12587.65__ANML","P36404","ARL2","ARL2","ARL2__seq.12587.65","ARL2"
"seq.12616.45",1.72638098561243,0.087432580358129,0.00593106997942821,0.0017699065970359,0.75,0.0874325803581268,0,0.0892024869551627,0,0.0198414490161641,0.75,-0.120992519730186,0.157099717547175,0.823699421965318,0,0.823699421965318,"NRBP__seq.12616.45__ANML","Q9UHY1","NRBP1","NRBP1","NRBP1__seq.12616.45","NRBP1"
"seq.12881.17",1.72594866237984,-0.0587494363815107,0.00795240327527794,0.00254122902755293,0.512,-0.0587494363815102,0,-0.0562082073539572,0,-0.0452109958168595,0.512,-0.218184720956793,0.104980638098651,0.666301369863014,0,0.666301369863014,"RDH16__seq.12881.17__ANML","O75452","RDH16","RDH16","RDH16__seq.12881.17","RDH16"
"seq.12893.159",1.72533545886812,-0.128688265510098,-0.0987769059137784,-0.0316462093490619,0,-0.128688265510099,0,-0.160334474859161,0,0.197376199827643,0,0.0934874208684429,0.336764974976933,0,0,0,"IP16_HIN_2__seq.12893.159__ANML","Q16666","IFI16","IFI16","IFI16__seq.12893.159","IFI16_1"
"seq.13022.20",1.72339307016743,-0.627075586117187,-0.104358781121634,-0.034374100890775,0.044,-0.627075586117178,0,-0.661449687007953,0,0.0519678239568986,0.044,0.0025441717583799,0.108236020932789,0.1365625,0,0.1365625,"P5I11__seq.13022.20__ANML","O14683","TP53I11","TP53I11","TP53I11__seq.13022.20","TP53I11"
"seq.13055.53",1.73284485081392,0.120552992121305,0.0048904537854214,0.00155006459125873,0.764,0.120552992121304,0,0.122103056712563,0,0.0126947238913737,0.764,-0.11098115866856,0.136069308354206,0.829485714285714,0,0.829485714285714,"PSD1__seq.13055.53__ANML","A5PKW4","PSD","PSD","PSD__seq.13055.53","PSD"
"seq.13408.23",1.71739254587971,0.0587499783525648,0.0193572341189172,0.00642690777070776,0.332,0.0587499783525658,0.002,0.0651768861232735,0,0.0986071620321368,0.332,-0.107427791510692,0.346030891492894,0.500634920634921,0.00262068965517241,0.500634920634921,"WFKN2__seq.13408.23__ANML","Q8TEU8","WFIKKN2","WFIKKN2","WFIKKN2__seq.13408.23","WFIKKN2_1"
"seq.13468.5",1.70793067546903,-0.0384990052177906,-0.0134987374344636,-0.00436723858173834,0.208,-0.0384990052177893,0,-0.0428662437995276,0,0.101880598686523,0.208,-0.0720186076314233,0.286118922127575,0.38,0,0.38,"NEUL4__seq.13468.5__ANML","Q96JN8","NEURL4","NEURL4","NEURL4__seq.13468.5","NEURL4"
"seq.13507.51",1.72521329259431,-0.0975589096369185,0.00237456075343092,0.00072686792293761,0.918,-0.0975589096369165,0,-0.0968320417139789,0,-0.00750648142982075,0.918,-0.181052882007629,0.154136488135227,0.932727272727273,0,0.932727272727273,"TRADD__seq.13507.51__ANML","Q15628","TRADD","TRADD","TRADD__seq.13507.51","TRADD"
"seq.13524.25",1.7205608319425,0.064314843053717,0.137287366341688,0.0408386469497427,0,0.0643148430537171,0.02,0.10515349000346,0,0.388371769195668,0,0.219714560944015,0.783600365142046,0,0.0212290502793296,0,"H6ST2__seq.13524.25__ANML","Q96MM7","HS6ST2","HS6ST2","HS6ST2__seq.13524.25","HS6ST2"
"seq.13576.15",1.7353580131872,0.0291982504075608,0.00841985908646892,0.00277541026281529,0.424,0.0291982504075605,0,0.0319736606703758,0,0.0868030186292295,0.424,-0.133098674293286,0.375334720424714,0.575428571428571,0,0.575428571428571,"Glutathione_S.transferase_Pi__seq.13576.15__ANML","P09211","GSTP1","GSTP1","GSTP1__seq.13576.15","GSTP1_1"
"seq.13622.16",1.72339307016743,0.0272342467257701,0.0751071302502112,0.024739078447344,0,0.0272342467257687,0.074,0.0519733251731127,0,0.475995683650086,0,0.2255606016463,1.14756132468951,0,0.074,0,"X2A5A__seq.13622.16__ANML","Q15172","PPP2R5A","PPP2R5A","PPP2R5A__seq.13622.16","PPP2R5A"
"seq.13658.31",1.75191906081228,-0.087794248573025,0.0472373578153034,0.0141411198555362,0.098,-0.0877942485730289,0,-0.0736531287174926,0,-0.191996186744171,0.098,-0.887210948456719,0.0313684536948904,0.241818181818182,0,0.241818181818182,"PDGF.CC__seq.13658.31__ANML","Q9NRA1","PDGFC","PDGFC","PDGFC__seq.13658.31","PDGFC_1"
"seq.13691.10",1.72259854577114,0.0618598694398921,0.0358835005065514,0.0110061645822462,0.13,0.0618598694398939,0.006,0.0728660340221401,0,0.151046571011426,0.13,-0.0527505397546298,0.483945485996019,0.294047619047619,0.007125,0.294047619047619,"SC5A8__seq.13691.10__ANML","Q8N695","SLC5A8","SLC5A8","SLC5A8__seq.13691.10","SLC5A8"
"seq.13723.6",1.72494726215514,-0.136647515327293,-0.025024880536549,-0.00850726677493475,0.332,-0.136647515327297,0,-0.145154782102231,0,0.0586082432264833,0.332,-0.0554896168938556,0.181596123636569,0.500634920634921,0,0.500634920634921,"IL.10__seq.13723.6__ANML","P22301","IL10","IL10","IL10__seq.13723.6","IL10_1"
"seq.13732.79",1.72751037748507,0.260191382399503,0.0332220407825476,0.0109158133999799,0.008,0.260191382399508,0,0.271107195799488,0,0.0402638276265204,0.008,0.0110305685129703,0.0689947216280978,0.0361904761904762,0,0.0361904761904762,"Cardiotrophin.1__seq.13732.79__ANML","Q16619","CTF1","CTF1","CTF1__seq.13732.79","CTF1_1"
"seq.13742.66",1.72336001821145,-0.0798175185258903,0.0667069877696696,0.0233873104531114,0.004,-0.0798175185258893,0,-0.0564302080727779,0,-0.414446645721186,0.004,-1.02796532726517,-0.130069320108889,0.0217142857142857,0,0.0217142857142857,"IL.22__seq.13742.66__ANML","Q9GZX6","IL22","IL22","IL22__seq.13742.66","IL22_1"
"seq.14029.42",1.72325848010921,-0.0417005755916091,-0.00854598443704277,-0.0027855582184029,0.49,-0.0417005755916073,0.002,-0.0444861338100102,0,0.0626163251295194,0.49,-0.146084247094982,0.332399851510319,0.651048951048951,0.00262068965517241,0.651048951048951,"CSN2__seq.14029.42__ANML","P61201","COPS2","COPS2","COPS2__seq.14029.42","COPS2"
"seq.14101.2",1.72339307016743,0.0318846792966129,0.0431261840917958,0.0146138491116753,0,0.0318846792966127,0.012,0.046498528408288,0,0.314286271241876,0,0.109158551436627,0.713774653619851,0,0.0131791907514451,0,"CNTFR_alpha__seq.14101.2__ANML","P26992","CNTFR","CNTFR","CNTFR__seq.14101.2","CNTFR_1"
"seq.14125.5",1.73639098119907,0.053467259757366,0.0371109143866187,0.0123703047955394,0.034,0.0534672597573672,0,0.0658375645529066,0,0.18789128789232,0.034,0.0150636765142443,0.433116452833018,0.113333333333333,0,0.113333333333333,"ApoM__seq.14125.5__ANML","O95445","APOM","APOM","APOM__seq.14125.5","APOM_2"
"seq.14283.12",1.71552269901932,-0.0682670830663074,0.0072901930049766,0.00254605785933553,0.688,-0.0682670830663078,0,-0.0657210252069722,0,-0.0387403856120222,0.688,-0.201903296739473,0.134957098728426,0.782754491017964,0,0.782754491017964,"RAB14__seq.14283.12__ANML","P61106","RAB14","RAB14","RAB14__seq.14283.12","RAB14"
"seq.14318.1",1.72325848010921,-0.191965616022802,-0.0223675438404211,-0.006919074083548,0.088,-0.191965616022799,0,-0.198884690106347,0,0.0347893750888932,0.088,-0.00413821637759485,0.0752675934400578,0.222933333333333,0,0.222933333333333,"VPS29__seq.14318.1__ANML","Q9UBQ0","VPS29","VPS29","VPS29__seq.14318.1","VPS29"
"seq.14341.8",1.72262005202275,-0.11222906788396,-0.0396286577973504,-0.0111612358986208,0,-0.112229067883959,0,-0.12339030378258,0,0.0904547242082125,0,0.0492095705366145,0.165810273532093,0,0,0,"FA69C__seq.14341.8__ANML","Q0P6D2","DIPK1C","DIPK1C","DIPK1C__seq.14341.8","DIPK1C"
"seq.14663.44",1.73592574163592,-0.035322949144201,-0.0136414851998465,-0.00442075135944195,0.178,-0.0353229491442018,0,-0.0397437005036437,0,0.111231498411595,0.178,-0.0568992050998486,0.351345895156263,0.348659793814433,0,0.348659793814433,"RNF8__seq.14663.44__ANML","O76064","RNF8","RNF8","RNF8__seq.14663.44","RNF8"
"seq.14685.17",1.72735505220105,-0.0726945763230619,-0.00157901405189096,-0.00050127430218761,0.892,-0.0726945763230599,0,-0.0731958506252476,0,0.00684839779722028,0.892,-0.109122008757881,0.105115393133589,0.925217391304348,0,0.925217391304348,"PKB_beta__seq.14685.17__ANML","P31751","AKT2","AKT2","AKT2__seq.14685.17","AKT2_1"
"seq.15326.64",1.72093894913996,-0.0686689230604117,-0.0273017768347522,-0.00835240129252904,0.262,-0.0686689230604132,0.002,-0.0770213243529422,0,0.108442711972272,0.262,-0.098120704749812,0.399027250932597,0.436666666666667,0.00262068965517241,0.436666666666667,"GBP1__seq.15326.64__ANML","P32455","GBP1","GBP1","GBP1__seq.15326.64","GBP1"
"seq.15460.9",1.724162221488,-0.0357756453674734,-0.0102126203958109,-0.00307433131851639,0.408,-0.0357756453674731,0,-0.0388499766859895,0,0.0791334147601971,0.408,-0.123712061287711,0.345397523890386,0.560431654676259,0,0.560431654676259,"CD26__seq.15460.9__ANML","P27487","DPP4","DPP4","DPP4__seq.15460.9","DPP4"
"seq.15468.14",1.72580172268908,-0.0405543248942781,-0.06853095317833,-0.0218323906172864,0,-0.04055432489428,0.022,-0.0623867155115664,0,0.349952557018949,0,0.147593486772144,0.81551842254312,0,0.022967032967033,0,"FHR1__seq.15468.14__ANML","Q03591","CFHR1","CFHR1","CFHR1__seq.15468.14","CFHR1_1"
"seq.15487.164",1.72731543506541,-0.0347806257313781,-0.0910778274427686,-0.0303111628573393,0,-0.0347806257313792,0.054,-0.0650917885887185,0,0.465667997677248,0,0.232156591034337,1.0275756838802,0,0.0545744680851064,0,"carboxylesterase._liver__seq.15487.164__ANML","P23141","CES1","CES1","CES1__seq.15487.164","CES1_1"
"seq.15548.35",1.7229451355906,-0.234180465806371,-0.0203783820919524,-0.00678202890540412,0.084,-0.23418046580637,0,-0.240962494711774,0,0.0281455788939951,0.084,-0.00389760102632524,0.0619367298906136,0.215675675675676,0,0.215675675675676,"SERA__seq.15548.35__ANML","O43175","PHGDH","PHGDH","PHGDH__seq.15548.35","PHGDH_1"
"seq.15559.5",1.72339307016743,0.0589368803727651,0.0416292609224469,0.0125282372918269,0.074,0.0589368803727679,0.004,0.0714651176645948,0,0.175305627433867,0.074,-0.00831342315797945,0.532325810920379,0.206764705882353,0.00496732026143791,0.206764705882353,"ANTR2__seq.15559.5__ANML","P58335","ANTXR2","ANTXR2","ANTXR2__seq.15559.5","ANTXR2"
"seq.15606.19",1.72072800570947,-0.150317653012557,-0.0119264809649696,-0.00438751079803071,0.532,-0.150317653012558,0,-0.154705163810589,0,0.0283604676790394,0.532,-0.047445873037447,0.0955453052929289,0.678389261744966,0,0.678389261744966,"Keratin_19__seq.15606.19__ANML","P08727","KRT19","KRT19","KRT19__seq.15606.19","KRT19"
"seq.15626.223",1.7272871152785,0.045164327678891,0.0315847431012413,0.0102200632344998,0.058,0.0451643276788905,0.006,0.0553843909133903,0,0.184529667401811,0.058,-0.00584074891568475,0.525023447921767,0.166969696969697,0.007125,0.166969696969697,"Perlecan__seq.15626.223__ANML","P98160","HSPG2","HSPG2","HSPG2__seq.15626.223","HSPG2"
"seq.16302.11",1.72055477826375,-0.0738575980587931,-0.0153693406585434,-0.00454397897730846,0.384,-0.073857598058794,0,-0.0784015770361024,0,0.0579577496918977,0.384,-0.110868495965941,0.263666474135873,0.544477611940299,0,0.544477611940299,"SPLC2__seq.16302.11__ANML","Q96DR5","BPIFA2","BPIFA2","BPIFA2__seq.16302.11","BPIFA2_1"
"seq.16760.2",1.72339307016743,0.0596406132926939,0.045507544368042,0.0146659384693219,0.046,0.0596406132926944,0.01,0.0743065517620163,0,0.19737073140324,0.046,0.00782930678575723,0.61090292436267,0.1365625,0.0112426035502959,0.1365625,"IL.26__seq.16760.2__ANML","Q9NPH9","IL26","IL26","IL26__seq.16760.2","IL26"
"seq.17138.8",1.70997226934063,-0.0675355180342049,-0.0619919809537171,-0.0207950895665523,0.016,-0.0675355180342052,0.01,-0.0883306076007575,0,0.235423372841986,0.016,0.035832802895275,0.631177539361812,0.0608,0.0112426035502959,0.0608,"GST_A1.1__seq.17138.8__ANML","P08263","GSTA1","GSTA1","GSTA1__seq.17138.8","GSTA1_2"
"seq.17467.1",1.7255690602604,-0.0402230624448673,-0.00633606543206722,-0.00202834424291181,0.572,-0.0402230624448663,0,-0.0422514066877781,0,0.0480065494126742,0.572,-0.13153140972034,0.28885228183523,0.713717948717949,0,0.713717948717949,"DHRS9__seq.17467.1__ANML","Q9BPW9","DHRS9","DHRS9","DHRS9__seq.17467.1","DHRS9"
"seq.17468.1",1.72045114916564,-0.0271982013662154,-0.015501816566371,-0.00566719860198002,0.162,-0.0271982013662154,0.01,-0.0328653999681954,0,0.172436623545257,0.162,-0.0624192155687028,0.521799229754334,0.334565217391304,0.0112426035502959,0.334565217391304,"SUFU__seq.17468.1__ANML","Q9UMX1","SUFU","SUFU","SUFU__seq.17468.1","SUFU"
"seq.17673.34",1.73905877510103,-0.0306376786504482,-0.032408958602157,-0.0105200508478431,0.004,-0.0306376786504493,0.022,-0.0411577294982924,0,0.255603284634045,0.004,0.0464468236500059,0.710370339433903,0.0217142857142857,0.022967032967033,0.0217142857142857,"Carbonic_Anhydrase_VB__seq.17673.34__ANML","Q9Y2D0","CA5B","CA5B","CA5B__seq.17673.34","CA5B"
"seq.17755.5",1.72339307016743,-0.088427645914291,-0.0302116453390557,-0.00961713512767808,0.296,-0.0884276459142939,0,-0.0980447810419719,0,0.0980892101086042,0.296,-0.10535575720191,0.336488217734925,0.472605042016807,0,0.472605042016807,"UGDH__seq.17755.5__ANML","O60701","UGDH","UGDH","UGDH__seq.17755.5","UGDH"
"seq.18275.5",1.72339307016743,0.0963585774707022,-0.0106565260213469,-0.0035858452488891,0.628,0.0963585774707061,0,0.092772732221817,0,-0.0386519310471038,0.628,-0.209025648741967,0.119901226197053,0.736543209876543,0,0.736543209876543,"CRIP1__seq.18275.5__ANML","P50238","CRIP1","CRIP1","CRIP1__seq.18275.5","CRIP1"
"seq.18308.30",1.7177419239731,-0.101577940411569,0.0106782000693736,0.00339338848054384,0.586,-0.101577940411572,0,-0.0981845519310286,0,-0.0345613277629213,0.586,-0.175232436753878,0.0856398761574848,0.713717948717949,0,0.713717948717949,"STXB6__seq.18308.30__ANML","Q8NFX7","STXBP6","STXBP6","STXBP6__seq.18308.30","STXBP6"
"seq.18336.31",1.72339307016743,-0.328029712191488,-0.0845736627869338,-0.0269887517898272,0,-0.328029712191493,0,-0.35501846398132,0,0.0760206990001716,0,0.0283952323506538,0.125001241474675,0,0,0,"CDA__seq.18336.31__ANML","P32320","CDA","CDA","CDA__seq.18336.31","CDA"
"seq.18381.16",1.71439317112961,-0.093199884119899,-0.0538848555159181,-0.0172789916737503,0.142,-0.0931998841198978,0.006,-0.110478875793648,0,0.156400864415238,0.142,-0.0613823863312823,0.50158644325369,0.310114942528736,0.007125,0.310114942528736,"ALDH.E2__seq.18381.16__ANML","P05091","ALDH2","ALDH2","ALDH2__seq.18381.16","ALDH2"
"seq.18824.7",1.73302498944163,0.0554796868901685,0.0100045516042556,0.00330055223020094,0.624,0.0554796868901678,0.002,0.0587802391203687,0,0.0561507111844536,0.624,-0.186669865429283,0.333689122542343,0.73639751552795,0.00262068965517241,0.73639751552795,"IF4A2__seq.18824.7__ANML","Q14240","EIF4A2","EIF4A2","EIF4A2__seq.18824.7","EIF4A2_1"
"seq.18877.15",1.72325848010921,0.0356022216038198,0.0106020116951384,0.00348088200433716,0.394,0.0356022216038216,0,0.0390831036081587,0,0.0890636025029116,0.394,-0.143763979852005,0.415707172177319,0.554518518518519,0,0.554518518518519,"CNN2__seq.18877.15__ANML","Q99439","CNN2","CNN2","CNN2__seq.18877.15","CNN2"
"seq.19130.81",1.74303285043734,-0.0337275400783442,-0.0294653434473509,-0.00933925307364521,0.044,-0.0337275400783448,0.016,-0.04306679315199,0,0.216855084628322,0.044,0.0121643442123518,0.644212227245807,0.1365625,0.0171751412429379,0.1365625,"SPB8__seq.19130.81__ANML","P50452","SERPINB8","SERPINB8","SERPINB8__seq.19130.81","SERPINB8"
"seq.19152.4",1.72388237528631,-0.0417851790765308,-0.00290416375254923,-0.000920608430650305,0.858,-0.0417851790765304,0.004,-0.0427057875071808,0,0.0215569945992802,0.858,-0.249413881290086,0.29202418457387,0.895714285714286,0.00496732026143791,0.895714285714286,"IPP2__seq.19152.4__ANML","P41236","PPP1R2","PPP1R2","PPP1R2__seq.19152.4","PPP1R2"
"seq.19272.9",1.72398840142512,0.0298600678435608,0.0585752360849438,0.0190311636608002,0,0.0298600678435607,0.054,0.0488912315043609,0,0.389255150161287,0,0.165198432860881,1.02959136585482,0,0.0545744680851064,0,"PEF1__seq.19272.9__ANML","Q9UBV8","PEF1","PEF1","PEF1__seq.19272.9","PEF1"
"seq.19332.1",1.72041823498566,-0.0958044144959316,0.00518270471228079,0.00161394845636009,0.598,-0.0958044144959305,0,-0.0941904660395704,0,-0.0171349450132464,0.598,-0.0986940739900197,0.053418161134677,0.716981132075472,0,0.716981132075472,"MOBL3__seq.19332.1__ANML","Q9Y3A3","MOB4","MOB4","MOB4__seq.19332.1","MOB4"
"seq.19491.11",1.73210116755005,-0.0506835697000279,-0.0337635745228688,-0.0103990740216912,0.094,-0.0506835697000274,0.004,-0.0610826437217186,0.002,0.170245971491795,0.096,-0.0270550695115835,0.500710574025563,0.235,0.00496732026143791,0.24,"DHB8__seq.19491.11__ANML","Q92506","HSD17B8","HSD17B8","HSD17B8__seq.19491.11","HSD17B8"
"seq.19788.6",1.71806649258455,-0.0352497174156485,-0.0455671168941877,-0.0134105755416436,0.002,-0.03524971741565,0.016,-0.0486602929572936,0,0.275595865265615,0.002,0.0842316829404768,0.789205246774398,0.0126666666666667,0.0171751412429379,0.0126666666666667,"METK2__seq.19788.6__ANML","P31153","MAT2A","MAT2A","MAT2A__seq.19788.6","MAT2A"
"seq.19821.10",1.71101103559367,-0.0412901255972755,-0.0314542580365298,-0.0100773356437416,0.018,-0.041290125597276,0.002,-0.0513674612410176,0,0.196181306225325,0.018,0.0329474060628505,0.462808329736103,0.0657692307692308,0.00262068965517241,0.0657692307692308,"PGRP.I.beta__seq.19821.10__ANML","Q96LB8","PGLYRP4","PGLYRP4","PGLYRP4__seq.19821.10","PGLYRP4"
"seq.20133.1",1.73654055908318,-0.139062218828203,0.00016764894964171,5.4239366060592e-05,0.992,-0.139062218828202,0,-0.139007979462141,0,-0.000390188867361849,0.992,-0.0681185694821009,0.0645387112069941,0.992,0,0.992,"MAGE.3__seq.20133.1__ANML","P43357","MAGEA3","MAGEA3","MAGEA3__seq.20133.1","MAGEA3_2"
"seq.20135.85",1.7227628889883,-0.0788512870254591,-0.00979913932805339,-0.00313727385601704,0.41,-0.0788512870254581,0,-0.0819885608814751,0,0.0382647752599581,0.41,-0.0518384877154649,0.130835839395245,0.560431654676259,0,0.560431654676259,"MCE1__seq.20135.85__ANML","O60942","RNGTT","RNGTT","RNGTT__seq.20135.85","RNGTT_2"
